Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
"03/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""19:40:00"",""LOS CHORROS E18"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",38,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""PRIMARIA"",76001000,1"
"03/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""19:40:00"",""LOS CHORROS E18"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",42,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""PRIMARIA"",76001000,1"
"03/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""11:45:00"",""VISTA HERMOSA E1"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""CONDUCTOR MOTOCICLETA"",""A PIE"",26,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"04/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""18:30:00"",""AGUACATAL E1"",""URBANA"",""DENTRO DE LA VIVIENDA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",26,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"04/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""20:15:00"",""UNION DE VIVIENDA POPULAR E16"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""CONDUCTOR MOTOCICLETA"",""A PIE"",28,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""TECNICO"",76001000,1"
"04/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""13:25:00"",""URBANIZACION CALIMIO E6"",""URBANA"",""RIOS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",21,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"04/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""8:48:00"",""VALLADO E15"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"05/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""19:20:00"",""LA FLORESTA E8"",""URBANA"",""DENTRO DE LA VIVIENDA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",51,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"05/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""2:10:00"",""SAN JUAN BOSCO E3"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",30,""MASCULINO"",""SOLTERO"",""-"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"05/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""22:55:00"",""LOS PINOS E7"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",39,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
